Fabric,Temperature,Shrinkage
Fabric1,210F,1.8
Fabric1,210F,2.1
Fabric1,215F,2.0
Fabric1,215F,2.1
Fabric1,220F,4.6
Fabric1,220F,5.0
Fabric1,225F,7.5
Fabric1,225F,7.9
Fabric2,210F,2.2
Fabric2,210F,2.4
Fabric2,215F,4.2
Fabric2,215F,4.0
Fabric2,220F,5.4
Fabric2,220F,5.6
Fabric2,225F,9.8
Fabric2,225F,9.2
Fabric3,210F,2.8
Fabric3,210F,3.2
Fabric3,215F,4.4
Fabric3,215F,4.8
Fabric3,220F,8.7
Fabric3,220F,8.4
Fabric3,225F,13.2
Fabric3,225F,13.0
Fabric4,210F,3.2
Fabric4,210F,3.6
Fabric4,215F,3.3
Fabric4,215F,3.5
Fabric4,220F,5.7
Fabric4,220F,5.8
Fabric4,225F,10.9
Fabric4,225F,11.1
